Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain,Total Rain Flag,Total Snow,Total Snow Flag,Total Precip,Total Precip Flag,Snow on Grnd,Snow on Grnd Flag,Dir of Max Gust,Dir of Max Gust Flag,Spd of Max Gust,Spd of Max Gust Flag
1/1/2013,2013,1,1,?,-1.2,,-16.5,,-8.9,,26.9,,0,,,M,,M,0.2,,32,,29,,54,
1/2/2013,2013,1,2,?,-13.8,,-22.9,,-18.4,,36.4,,0,,,M,,M,0.6,,31,,,,<31,
1/3/2013,2013,1,3,?,-12.9,,-23.1,,-18,,36,,0,,0,,,M,0.8,,31,,,,<31,
1/4/2013,2013,1,4,?,0.5,,-15.1,,-7.3,,25.3,,0,,,M,,M,0.5,,33,,24,,56,
1/5/2013,2013,1,5,?,0.6,,-12.7,,-6.1,,24.1,,0,,,M,,M,0,,30,,32,,56,
1/6/2013,2013,1,6,?,-6.9,,-10.5,,-8.7,,26.7,,0,,,M,,M,5,,30,,3,,32,
1/7/2013,2013,1,7,?,-6,,-13.6,,-9.8,,27.8,,0,,,M,,M,0,,30,,18,,32,
1/8/2013,2013,1,8,?,1.8,,-10.7,,-4.5,,22.5,,0,,,M,,M,0,,29,,24,,41,
1/9/2013,2013,1,9,?,5.5,,-6.2,,-0.4,,18.4,,0,,,M,,M,0.4,,28,,27,,56,
1/10/2013,2013,1,10,?,3,,-2.5,,0.3,,17.7,,0,,,M,,M,0,,25,,26,,48,
1/11/2013,2013,1,11,?,2.9,,-2.9,,0,,18,,0,,,M,,M,0.2,,25,,,,<31,
1/12/2013,2013,1,12,?,5.3,,1.5,,3.4,,14.6,,0,,,M,,M,0.4,,23,,,,<31,
1/13/2013,2013,1,13,?,5.6,,1.9,,3.8,,14.2,,0,,,M,,M,4.4,,18,,15,,43,
1/14/2013,2013,1,14,?,6.2,,-0.3,,3,,15,,0,,,M,,M,1.3,,8,,29,,54,
1/15/2013,2013,1,15,?,0,,-3.2,,-1.6,,19.6,,0,,,M,,M,0,,7,,,,<31,
1/16/2013,2013,1,16,?,1.9,,-3.4,,-0.8,,18.8,,0,,,M,,M,0,,8,,24,,35,
1/17/2013,2013,1,17,?,1.7,,-18.9,,-8.6,,26.6,,0,,,M,,M,0.8,,7,,30,,56,
1/18/2013,2013,1,18,?,-7,,-21.4,,-14.2,,32.2,,0,,,M,,M,0,,7,,27,,41,
1/19/2013,2013,1,19,?,1.1,,-7.5,,-3.2,,21.2,,0,,0,,,M,11.6,,14,,16,,35,
1/20/2013,2013,1,20,?,6.6,,-15.7,,-4.6,,22.6,,0,,,M,,M,4.3,,21,,25,,69,
1/21/2013,2013,1,21,?,-15.5,,-19.6,,-17.6,,35.6,,0,,,M,,M,0.2,,18,,29,,32,
1/22/2013,2013,1,22,?,-15.3,,-23,,-19.2,,37.2,,0,,,M,,M,0.2,,18,,32,,43,
1/23/2013,2013,1,23,?,-22.3,,-27.2,,-24.8,,42.8,,0,,,M,,M,0.2,,18,,,,<31,
1/24/2013,2013,1,24,?,-17,,-24,,-20.5,,38.5,,0,,,M,,M,0,,18,,27,,52,
1/25/2013,2013,1,25,?,-14.6,,-20.6,,-17.6,,35.6,,0,,,M,,M,0,,17,,28,,32,
1/26/2013,2013,1,26,?,-11,,-21,,-16,,34,,0,,,M,,M,0,,17,,26,,32,
1/27/2013,2013,1,27,?,-10.7,,-18,,-14.4,,32.4,,0,,,M,,M,0,,17,,,,<31,
1/28/2013,2013,1,28,?,-6.2,,-14.3,,-10.3,,28.3,,0,,,M,,M,3.2,,17,,,,<31,
1/29/2013,2013,1,29,?,1.9,,-11,,-4.6,,22.6,,0,,,M,,M,2.2,,17,,,,<31,
1/30/2013,2013,1,30,?,7.9,,1.6,,4.8,,13.2,,0,,,M,,M,4.4,,15,,15,,44,
1/31/2013,2013,1,31,?,9.6,,-12,,-1.2,,19.2,,0,,,M,,M,11.5,,1,,25,,85,
2/1/2013,2013,2,1,?,-11.7,,-15.3,,-13.5,,31.5,,0,,,M,,M,0,,,,29,,44,
2/2/2013,2013,2,2,?,-11.3,,-16.9,,-14.1,,32.1,,0,,,M,,M,1,,,,,,<31,
